category_name;category_description;category_audiences;product_name;product_description;family;unite;seuil_minimum;emplacement
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Papier A4 80g (ramette 500);;economat;Ramette;20;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Papier A3 80g (ramette 500);;economat;Ramette;10;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Toner imprimante (noir);;economat;Unite;3;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Toner imprimante (cyan);;economat;Unite;2;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Toner imprimante (magenta);;economat;Unite;2;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Toner imprimante (jaune);;economat;Unite;2;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Stylos bille bleus (boîte);;economat;Boite;10;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Marqueurs permanents (boîte);;economat;Boite;6;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Classeurs A4 (unité);;economat;Unite;15;Dépôt - Bureautique
Bureautique;Consommables bureautiques (papier, classement, impression).;bureautique;Chemises cartonnées (lot);;economat;Boite;8;Dépôt - Bureautique
Ménage;Produits d'entretien et consommables de nettoyage.;menage;Détergent multi-surfaces (bidon 5L);;produit_chimique;Bidon;6;Dépôt - Entretien
Ménage;Produits d'entretien et consommables de nettoyage.;menage;Eau de javel (bidon 5L);;produit_chimique;Bidon;6;Dépôt - Entretien
Ménage;Produits d'entretien et consommables de nettoyage.;menage;Désinfectant (bidon 5L);;produit_chimique;Bidon;5;Dépôt - Entretien
Ménage;Produits d'entretien et consommables de nettoyage.;menage;Sacs poubelle 100L (rouleau);;economat;Unite;10;Dépôt - Entretien
Ménage;Produits d'entretien et consommables de nettoyage.;menage;Gants ménage (boîte);;economat;Boite;10;Dépôt - Entretien
HSE;Équipements de protection individuelle et sécurité.;;Casque de sécurité;;economat;Unite;10;Dépôt - HSE
