category_name;category_description;category_audiences;product_name;product_description;family;unite;seuil_minimum;emplacement
Bureautique;Catalogue operationnel bureautique;bureautique;Papier A4 Navigator 80 g ramette 500 feuilles;Article catalogue humanise: Papier A4 Navigator 80 g ramette 500 feuilles.;economat;Ramette;24;MAG-BUR-R01
Bureautique;Catalogue operationnel bureautique;bureautique;Papier A3 Clairefontaine 80 g ramette 500 feuilles;Article catalogue humanise: Papier A3 Clairefontaine 80 g ramette 500 feuilles.;economat;Ramette;8;MAG-BUR-R01
Bureautique;Catalogue operationnel bureautique;bureautique;Toner HP 26A noir compatible LaserJet;Article catalogue humanise: Toner HP 26A noir compatible LaserJet.;economat;Unite;4;MAG-BUR-R02
Bureautique;Catalogue operationnel bureautique;bureautique;Toner Canon 719 noir compatible;Article catalogue humanise: Toner Canon 719 noir compatible.;economat;Unite;3;MAG-BUR-R02
Bureautique;Catalogue operationnel bureautique;bureautique;Stylo BIC Cristal bleu boite de 50;Article catalogue humanise: Stylo BIC Cristal bleu boite de 50.;economat;Boite;10;MAG-BUR-R03
Bureautique;Catalogue operationnel bureautique;bureautique;Marqueur permanent Staedtler Lumocolor noir;Article catalogue humanise: Marqueur permanent Staedtler Lumocolor noir.;economat;Boite;6;MAG-BUR-R03
Bureautique;Catalogue operationnel bureautique;bureautique;Classeur Esselte A4 dos 8 cm;Article catalogue humanise: Classeur Esselte A4 dos 8 cm.;economat;Unite;20;MAG-BUR-R04
Bureautique;Catalogue operationnel bureautique;bureautique;Chemise cartonnee Exacompta lot de 100;Article catalogue humanise: Chemise cartonnee Exacompta lot de 100.;economat;Lot;8;MAG-BUR-R04
Bureautique;Catalogue operationnel bureautique;bureautique;Bande adhesive Scotch 19 mm x 33 m;Article catalogue humanise: Bande adhesive Scotch 19 mm x 33 m.;economat;Rouleau;12;MAG-BUR-R05
Bureautique;Catalogue operationnel bureautique;bureautique;Pile Duracell AA alcaline lot de 20;Article catalogue humanise: Pile Duracell AA alcaline lot de 20.;economat;Lot;10;MAG-BUR-R05
EPI;Catalogue operationnel epi;;Casque de securite JSP EVO3 blanc;Article catalogue humanise: Casque de securite JSP EVO3 blanc.;economat;Unite;15;MAG-HSE-R01
EPI;Catalogue operationnel epi;;Lunettes de protection 3M SecureFit 400;Article catalogue humanise: Lunettes de protection 3M SecureFit 400.;economat;Unite;20;MAG-HSE-R01
EPI;Catalogue operationnel epi;;Gants anti-coupure Ansell HyFlex 11-727;Article catalogue humanise: Gants anti-coupure Ansell HyFlex 11-727.;economat;Paire;30;MAG-HSE-R02
EPI;Catalogue operationnel epi;;Gants nitrile Ansell TouchNTuff boite de 100;Article catalogue humanise: Gants nitrile Ansell TouchNTuff boite de 100.;economat;Boite;12;MAG-HSE-R02
EPI;Catalogue operationnel epi;;Chaussures de securite S3 basse taille 42;Article catalogue humanise: Chaussures de securite S3 basse taille 42.;economat;Paire;8;MAG-HSE-R03
EPI;Catalogue operationnel epi;;Masque FFP2 3M Aura 9320 boite de 20;Article catalogue humanise: Masque FFP2 3M Aura 9320 boite de 20.;economat;Boite;10;MAG-HSE-R03
EPI;Catalogue operationnel epi;;Bouchons anti-bruit 3M 1100 boite de 200;Article catalogue humanise: Bouchons anti-bruit 3M 1100 boite de 200.;economat;Boite;6;MAG-HSE-R04
EPI;Catalogue operationnel epi;;Gilet haute visibilite classe 2 orange;Article catalogue humanise: Gilet haute visibilite classe 2 orange.;economat;Unite;25;MAG-HSE-R04
EPI;Catalogue operationnel epi;;Harnais antichute Petzl Newton;Article catalogue humanise: Harnais antichute Petzl Newton.;economat;Unite;4;MAG-HSE-R05
EPI;Catalogue operationnel epi;;Extincteur CO2 5 kg recharge controlee;Article catalogue humanise: Extincteur CO2 5 kg recharge controlee.;economat;Unite;3;MAG-HSE-R05
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Roulement SKF 6205-2RS1;Article catalogue humanise: Roulement SKF 6205-2RS1.;economat;Unite;8;MAG-MEC-R01
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Roulement SKF 6306-2RS1;Article catalogue humanise: Roulement SKF 6306-2RS1.;economat;Unite;6;MAG-MEC-R01
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Courroie trapezoidale Optibelt A42;Article catalogue humanise: Courroie trapezoidale Optibelt A42.;economat;Unite;5;MAG-MEC-R02
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Courroie trapezoidale Optibelt B56;Article catalogue humanise: Courroie trapezoidale Optibelt B56.;economat;Unite;5;MAG-MEC-R02
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Joint torique NBR 70 Shore coffret;Article catalogue humanise: Joint torique NBR 70 Shore coffret.;economat;Coffret;3;MAG-MEC-R03
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Boulon hexagonal M10 classe 8.8 boite de 100;Article catalogue humanise: Boulon hexagonal M10 classe 8.8 boite de 100.;economat;Boite;8;MAG-MEC-R04
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Boulon hexagonal M16 classe 8.8 boite de 50;Article catalogue humanise: Boulon hexagonal M16 classe 8.8 boite de 50.;economat;Boite;6;MAG-MEC-R04
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Rondelle plate M12 inox A2 boite de 100;Article catalogue humanise: Rondelle plate M12 inox A2 boite de 100.;economat;Boite;8;MAG-MEC-R05
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Graisse Shell Gadus S2 V220 cartouche 400 g;Article catalogue humanise: Graisse Shell Gadus S2 V220 cartouche 400 g.;produit_chimique;Cartouche;20;MAG-MEC-R06
Maintenance mecanique;Catalogue operationnel maintenance mecanique;;Huile hydraulique Total Azolla ZS 46 bidon 20 L;Article catalogue humanise: Huile hydraulique Total Azolla ZS 46 bidon 20 L.;produit_chimique;Bidon;6;MAG-MEC-R06
Instrumentation;Catalogue operationnel instrumentation;petrole;Transmetteur pression WIKA 0-10 bar 4-20 mA;Article catalogue humanise: Transmetteur pression WIKA 0-10 bar 4-20 mA.;economat;Unite;3;MAG-INS-R01
Instrumentation;Catalogue operationnel instrumentation;petrole;Transmetteur pression WIKA 0-100 bar 4-20 mA;Article catalogue humanise: Transmetteur pression WIKA 0-100 bar 4-20 mA.;economat;Unite;2;MAG-INS-R01
Instrumentation;Catalogue operationnel instrumentation;petrole;Manometre inox WIKA 0-16 bar DN100;Article catalogue humanise: Manometre inox WIKA 0-16 bar DN100.;economat;Unite;5;MAG-INS-R02
Instrumentation;Catalogue operationnel instrumentation;petrole;Manometre inox WIKA 0-250 bar DN100;Article catalogue humanise: Manometre inox WIKA 0-250 bar DN100.;economat;Unite;3;MAG-INS-R02
Instrumentation;Catalogue operationnel instrumentation;petrole;Sonde temperature PT100 classe A 150 mm;Article catalogue humanise: Sonde temperature PT100 classe A 150 mm.;economat;Unite;4;MAG-INS-R03
Instrumentation;Catalogue operationnel instrumentation;petrole;Thermometre industriel bimettal 0-200 C;Article catalogue humanise: Thermometre industriel bimettal 0-200 C.;economat;Unite;4;MAG-INS-R03
